Period,Accomodation type,Travel,Tourists
01-Jan-12,Hotel,Domestic,735000
01-Feb-12,Hotel,Domestic,749000
01-Mar-12,Hotel,Domestic,889000
01-Apr-12,Hotel,Domestic,969000
01-May-12,Hotel,Domestic,1060000
01-Jun-12,Hotel,Domestic,1032000
01-Jul-12,Hotel,Domestic,1009000
01-Aug-12,Hotel,Domestic,1106000
01-Sep-12,Hotel,Domestic,1045000
01-Oct-12,Hotel,Domestic,1025000
01-Nov-12,Hotel,Domestic,859000
01-Dec-12,Hotel,Domestic,810000
01-Jan-13,Hotel,Domestic,698000
01-Feb-13,Hotel,Domestic,744000
01-Mar-13,Hotel,Domestic,881000
01-Apr-13,Hotel,Domestic,958000
01-May-13,Hotel,Domestic,1078000
01-Jun-13,Hotel,Domestic,1088000
01-Jul-13,Hotel,Domestic,1067000
01-Aug-13,Hotel,Domestic,1139000
01-Sep-13,Hotel,Domestic,1058000
01-Oct-13,Hotel,Domestic,1044000
01-Nov-13,Hotel,Domestic,897000
01-Dec-13,Hotel,Domestic,852000
01-Jan-14,Hotel,Domestic,745000
01-Feb-14,Hotel,Domestic,763000
01-Mar-14,Hotel,Domestic,971000
01-Apr-14,Hotel,Domestic,977000
01-May-14,Hotel,Domestic,1124000
01-Jun-14,Hotel,Domestic,1116000
01-Jul-14,Hotel,Domestic,1091000
01-Aug-14,Hotel,Domestic,1192000
01-Sep-14,Hotel,Domestic,1133000
01-Oct-14,Hotel,Domestic,1140000
01-Nov-14,Hotel,Domestic,967000
01-Dec-14,Hotel,Domestic,925000
01-Jan-15,Hotel,Domestic,775000
01-Feb-15,Hotel,Domestic,827000
01-Mar-15,Hotel,Domestic,916000
01-Apr-15,Hotel,Domestic,1025000
01-May-15,Hotel,Domestic,1169000
01-Jun-15,Hotel,Domestic,1121000
01-Jul-15,Hotel,Domestic,1119000
01-Aug-15,Hotel,Domestic,1220000
01-Sep-15,Hotel,Domestic,1111000
01-Oct-15,Hotel,Domestic,1165000
01-Nov-15,Hotel,Domestic,998000
01-Dec-15,Hotel,Domestic,964000
01-Jan-16,Hotel,Domestic,854000
01-Feb-16,Hotel,Domestic,913000
01-Mar-16,Hotel,Domestic,1030000
01-Apr-16,Hotel,Domestic,1103000
01-May-16,Hotel,Domestic,1228000
01-Jun-16,Hotel,Domestic,1191000
01-Jul-16,Hotel,Domestic,1205000
01-Aug-16,Hotel,Domestic,1274000
01-Sep-16,Hotel,Domestic,1212000
01-Oct-16,Hotel,Domestic,1252000
01-Nov-16,Hotel,Domestic,1067000
01-Dec-16,Hotel,Domestic,1020000
01-Jan-17,Hotel,Domestic,964000
01-Feb-17,Hotel,Domestic,936000
01-Mar-17,Hotel,Domestic,1100000
01-Apr-17,Hotel,Domestic,1229000
01-May-17,Hotel,Domestic,1295000
01-Jun-17,Hotel,Domestic,1316000
01-Jul-17,Hotel,Domestic,1324000
01-Aug-17,Hotel,Domestic,1382000
01-Sep-17,Hotel,Domestic,1288000
01-Oct-17,Hotel,Domestic,1316000
01-Nov-17,Hotel,Domestic,1106000
01-Dec-17,Hotel,Domestic,1162000
01-Jan-18,Hotel,Domestic,1028000
01-Feb-18,Hotel,Domestic,997000
01-Mar-18,Hotel,Domestic,1169000
01-Apr-18,Hotel,Domestic,1225000
01-May-18,Hotel,Domestic,1355000
01-Jun-18,Hotel,Domestic,1379000
01-Jul-18,Hotel,Domestic,1323000
01-Aug-18,Hotel,Domestic,1443000
01-Sep-18,Hotel,Domestic,1368000
01-Oct-18,Hotel,Domestic,1386000
01-Nov-18,Hotel,Domestic,1178000
01-Dec-18,Hotel,Domestic,1125000
01-Jan-19,Hotel,Domestic,966000
01-Feb-19,Hotel,Domestic,983000
01-Mar-19,Hotel,Domestic,1227000
01-Apr-19,Hotel,Domestic,1227000
01-May-19,Hotel,Domestic,1335000
01-Jun-19,Hotel,Domestic,1410000
01-Jul-19,Hotel,Domestic,1323000
01-Aug-19,Hotel,Domestic,1415000
01-Sep-19,Hotel,Domestic,1355000
01-Oct-19,Hotel,Domestic,1385000
01-Nov-19,Hotel,Domestic,1244000
01-Dec-19,Hotel,Domestic,1189000
01-Jan-20,Hotel,Domestic,1055000
01-Feb-20,Hotel,Domestic,1131000
01-Mar-20,Hotel,Domestic,571000
01-Apr-20,Hotel,Domestic,192000
01-May-20,Hotel,Domestic,401000
01-Jun-20,Hotel,Domestic,908000
01-Jul-20,Hotel,Domestic,1420000
01-Aug-20,Hotel,Domestic,1620000
01-Sep-20,Hotel,Domestic,1355000
01-Oct-20,Hotel,Domestic,985000
01-Nov-20,Hotel,Domestic,773000
01-Dec-20,Hotel,Domestic,649000
01-Jan-21,Hotel,Domestic,366000
01-Feb-21,Hotel,Domestic,549000
01-Mar-21,Hotel,Domestic,593000
01-Apr-21,Hotel,Domestic,791000
01-May-21,Hotel,Domestic,1258000
01-Jun-21,Hotel,Domestic,1346000
01-Jul-21,Hotel,Domestic,1633000
01-Jan-12,Hotel,International,563000
01-Feb-12,Hotel,International,583000
01-Mar-12,Hotel,International,735000
01-Apr-12,Hotel,International,974000
01-May-12,Hotel,International,953000
01-Jun-12,Hotel,International,902000
01-Jul-12,Hotel,International,949000
01-Aug-12,Hotel,International,983000
01-Sep-12,Hotel,International,910000
01-Oct-12,Hotel,International,842000
01-Nov-12,Hotel,International,743000
01-Dec-12,Hotel,International,587000
01-Jan-13,Hotel,International,576000
01-Feb-13,Hotel,International,567000
01-Mar-13,Hotel,International,784000
01-Apr-13,Hotel,International,920000
01-May-13,Hotel,International,1014000
01-Jun-13,Hotel,International,922000
01-Jul-13,Hotel,International,988000
01-Aug-13,Hotel,International,1040000
01-Sep-13,Hotel,International,912000
01-Oct-13,Hotel,International,892000
01-Nov-13,Hotel,International,775000
01-Dec-13,Hotel,International,627000
01-Jan-14,Hotel,International,631000
01-Feb-14,Hotel,International,670000
01-Mar-14,Hotel,International,839000
01-Apr-14,Hotel,International,1052000
01-May-14,Hotel,International,1078000
01-Jun-14,Hotel,International,1020000
01-Jul-14,Hotel,International,1086000
01-Aug-14,Hotel,International,1145000
01-Sep-14,Hotel,International,997000
01-Oct-14,Hotel,International,960000
